capital = 800

set_stability = 0.6
set_war_support = 0.5
starting_train_buffer = 1.0
set_convoys = 1

country_event = { id = npt.kostili.5 hours = 2 }
set_research_slots = 2

set_technology = {
	# Infantry
	infantry_weaponsgreat_war = 1
	support_weapons = 1
	infantry_binoculars = 1
	infantry_weapons0 = 1
	infantry_grenade = 1
		basic_train = 1

	# Support
	tech_support = 1

	# Armor

	# Artillery
	gw_artillery = 1
	gw_field_guns = 1

	# Land Doctrine
	linar_infantry = 1
	battlefield_fortifications = 1

	# Navy
	transport = 1

	# Air

	# Engineering
	electronic_mechanical_engineering = 1
	simple_electronics = 1
	

	# Industry
	basic_manual_machine_tools = 1
	improved_manual_machine_tools = 1
	high_volume_industrial_production = 1
}
1914.1.1 = {
	set_technology = {
		# Infantry
		infantry_weaponsgreat_war = 1
		support_weapons = 1
		infantry_binoculars = 1
		infantry_weapons0 = 1
		infantry_grenade = 1
		basic_train = 1

		# Support
		tech_support = 1

		# Armor

		# Artillery
		gw_artillery = 1
		gw_field_guns = 1
		pre_gw_field_guns = 1
		on_gw_field_guns = 1

		# Land Doctrine
		linar_infantry = 1
		battlefield_fortifications = 1
		battle_column = 1
		riflemans_chain_or_skirmish_line = 1

		# Navy
		transport = 1

		# Air

		# Engineering
		electronic_mechanical_engineering = 1
		simple_electronics = 1
		

		# Industry
		basic_manual_machine_tools = 1
		improved_manual_machine_tools = 1
		high_volume_industrial_production = 1
		
		construction0 = 1
	}
}
1917.1.1 = {
	set_technology = {
		# Infantry
		infantry_weaponsgreat_war = 1
		support_weapons = 1
		support_weapons1 = 1
		infantry_binoculars = 1
		infantry_weapons0 = 1
		infantry_grenade = 1
		basic_train = 1

		# Support
		tech_support = 1
		tech_engineers = 1
		tech_recon = 1

		# Armor

		# Artillery
		gw_artillery = 1
		gw_field_guns = 1
		pre_gw_field_guns = 1
		on_gw_field_guns = 1

		# Land Doctrine
		linar_infantry = 1
		battlefield_fortifications = 1
		battle_column = 1
		riflemans_chain_or_skirmish_line = 1
		flank_coverage = 1
		trench_system = 1

		# Navy
		transport = 1

		# Air

		# Engineering
		electronic_mechanical_engineering = 1
		simple_electronics = 1
		
		
		
		aerodynamics_theory = 1
		
		chemical_research = 1

		# Industry
		basic_manual_machine_tools = 1
		improved_manual_machine_tools = 1
		high_volume_industrial_production = 1
		industrial_railways = 1
		
		construction0 = 1
		bunkers1 = 1
	}
}

# Qazi Muhammad was leader of the short-lived Marxist uprising in Iranian Kurdistan
create_country_leader = {
	name = "Qazi Muhammad"
	desc = "POLITICS_QAZI_MUHAMMAD_DESC"
	picture = "gfx/leaders/SYR/Portrait_Arabia_Generic_1.dds"
	expire = "1965.1.1"
	ideology = marxism
	traits = {
		#
	}
}

# Sheikh Mahmud Barzanji was King of Kurdistan from 1922-1924 and Sheikh of a Sufi family the "Barzanjis"
create_country_leader = {
	name = "Sheikh Mahmud Barzanji"
	desc = "POLITICS_SHEIKH_BARZANJI_DESC"
	picture = "gfx/leaders/SYR/Portrait_Arabia_Generic_land_1.dds"
	expire = "1965.1.1"
	ideology = authoritarism_ideology
	traits = {
		#
	}
}

# Ihsan Nuri was the generalissimo who led the Ararat Rebellion and was pivotal in forming the Xoybûn with his experience as one of the Young Turks
create_country_leader = {
	name = "Îhsan Nûrî"
	desc = "POLITICS_IHSAN_NURI_DESC"
	picture = "GFX_portrait_kur_ihsan_nuri"
	expire = "1965.1.1"
	ideology = fascism_ideology
	traits = {
		experienced_insurgent
	}
}

# Seyid Riza was a religious leader in Turkish Kurdistan and was the leader of the Dersim Rebellion in 1937
create_country_leader = {
	name = "Seyid Riza"
	desc = "POLITICS_SEYID_RIZA_DESC"
	picture = "GFX_portrait_kur_seyid_riza"
	expire = "1965.1.1"
	ideology = social_conservatism_ideology
	traits = {
		freedom_fighter
	}
}

add_ideas = {
	limited_monarchy_gov_form
	unitary_gov_terr
	constitution_b_law
	poliparty_system_law
	territorial_expansion_law
	
	landlordism steel_agricultural_tools
	cities_low_literacy
}
set_politics = {
	ruling_party = social_conservatism
	last_election = "1908.5.31"
	election_frequency = 36
	elections_allowed = yes
}
set_popularities = {
	social_conservatism = 40
	fascism = 30
	communism = 25
	authoritarism = 5
}

create_field_marshal = {
	name = "Îhsan Nûrî Paşa"
	portrait_path = "gfx/leaders/SYR/Portrait_Arabia_Generic_land_1.dds"
	traits = { war_hero inflexible_strategist unyielding_defender desert_fox commando }
	skill = 3

	attack_skill = 2
	defense_skill = 3
	planning_skill = 2
	logistics_skill = 3
}

create_corps_commander = {
	name = "Ferzende Begê Hesenî"
	portrait_path = "gfx/leaders/SYR/Portrait_Arabia_Generic_land_1.dds"
	traits = { war_hero commando desert_fox }
	skill = 2 #13

	attack_skill = 3
	defense_skill = 2
	planning_skill = 1
	logistics_skill = 1
}

add_ideas = {
	export_focus
	limited_conscription
	minimum_legislation
	laissez_faire_law
	partial_economic_mobilisation
}
